phase,eer,gender,minDCF,text,loop,word
eval,17.061224489795922,female,0.7598693877551029,0,1,0
eval,10.475,male,0.5173044217687067,0,1,0
eval,11.268027210884355,all,0.5898530612244903,0,1,0
eval,9.48299319727891,female,0.4021782312925177,3,1,3
eval,9.296666666666669,male,0.436304421768708,3,1,3
eval,8.976870748299316,all,0.4270536054421764,3,1,3
eval,6.846666666666666,female,0.3766707482993194,6,1,6
eval,7.851666666666667,male,0.5181119047619049,6,1,6
eval,7.73061224489796,all,0.4831148299319738,6,1,6
eval,13.428571428571423,female,0.625302040816327,1,1,1
eval,9.538333333333334,male,0.5132146258503402,1,1,1
eval,9.825850340136055,all,0.5625586394557822,1,1,1
eval,13.210884353741491,female,0.6641891156462579,5,1,5
eval,6.715,male,0.3623302721088429,5,1,5
eval,7.806802721088434,all,0.5421409523809525,5,1,5
eval,10.367346938775512,female,0.4982476190476181,9,1,9
eval,8.105442176870747,male,0.4834136054421778,9,1,9
eval,8.417333333333334,all,0.5108740136054427,9,1,9
eval,7.533333333333333,female,0.3688448979591842,2,1,2
eval,8.97,male,0.4611697278911555,2,1,2
eval,8.506122448979593,all,0.43849387755102,2,1,2
eval,10.979591836734691,female,0.632782312925171,4,1,4
eval,7.913333333333333,male,0.4420476190476192,4,1,4
eval,8.097959183673463,all,0.4698761904761907,4,1,4
eval,10.680272108843536,female,0.4687931972789119,7,1,7
eval,11.2687074829932,male,0.5021894557823134,7,1,7
eval,11.025850340136056,all,0.4907831292517012,7,1,7
eval,6.913333333333334,female,0.3491170068027217,8,1,8
eval,8.588435374149661,male,0.4832642857142849,8,1,8
eval,8.965986394557824,all,0.4934367346938768,8,1,8
eval,2.9133333333333336,female,0.1642394557823121,9_9,2,9
eval,2.459183673469389,male,0.168043537414965,9_9,2,9
eval,2.692,all,0.1746214965986402,9_9,2,9
eval,0.6394557823129254,female,0.0385496598639457,6_6,2,6
eval,1.4931972789115622,male,0.1113673469387755,6_6,2,6
eval,1.3,all,0.0944310204081626,6_6,2,6
eval,3.2789115646258526,female,0.1384503401360543,7_7,2,7
eval,3.653333333333333,male,0.1759418367346946,7_7,2,7
eval,3.5333333333333337,all,0.1689227210884346,7_7,2,7
eval,1.9333333333333331,female,0.1124312925170072,3_3,2,3
eval,2.228333333333333,male,0.1347656462585034,3_3,2,3
eval,2.474666666666667,all,0.1475779591836731,3_3,2,3
eval,1.7006802721088454,female,0.1017863945578241,8_8,2,8
eval,1.734693877551019,male,0.1292312925170061,8_8,2,8
eval,1.9918367346938748,all,0.1564606802721082,8_8,2,8
eval,4.046666666666667,female,0.2030149659863937,1_1,2,1
eval,1.9727891156462565,male,0.1399931972789116,1_1,2,1
eval,2.512,all,0.1819477551020397,1_1,2,1
eval,2.73469387755102,female,0.1676911564625846,2_2,2,2
eval,1.8605442176870768,male,0.1198377551020404,2_2,2,2
eval,2.057333333333333,all,0.1239583673469383,2_2,2,2
eval,3.4866666666666664,female,0.2207061224489791,4_4,2,4
eval,2.013605442176869,male,0.0904976190476186,4_4,2,4
eval,2.416326530612245,all,0.1427376870748301,4_4,2,4
eval,3.7687074829931935,female,0.1988108843537414,5_5,2,5
eval,1.535,male,0.1098931972789121,5_5,2,5
eval,1.9253333333333331,all,0.1333711564625849,5_5,2,5
eval,4.666666666666667,female,0.228269387755103,0_0,2,0
eval,2.045,male,0.1267295918367341,0_0,2,0
