phase,eer,gender,minDCF,text,loop,word
eval,13.173333333333334,female,0.6327714285714283,0,1,0
eval,7.850340136054424,male,0.3731612244897968,0,1,0
eval,8.533333333333337,all,0.4604402721088436,0,1,0
eval,11.066666666666666,female,0.429695238095238,3,1,3
eval,8.472789115646261,male,0.4135316326530615,3,1,3
eval,8.673333333333332,all,0.4194402721088443,3,1,3
eval,4.760000000000001,female,0.2860394557823138,6,1,6
eval,7.170068027210885,male,0.4398945578231282,6,1,6
eval,6.532,all,0.3966133333333344,6,1,6
eval,12.081632653061224,female,0.5671714285714292,1,1,1
eval,9.05,male,0.4915217687074833,1,1,1
eval,9.252,all,0.5576002721088424,1,1,1
eval,10.7,female,0.5804217687074824,5,1,5
eval,5.566666666666667,male,0.3238030612244902,5,1,5
eval,6.315999999999999,all,0.39931700680272,5,1,5
eval,11.414965986394554,female,0.5506476190476189,9,1,9
eval,8.643333333333333,male,0.5191452380952375,9,1,9
eval,8.971428571428575,all,0.5569763265306132,9,1,9
eval,9.526666666666667,female,0.3934789115646249,2,1,2
eval,9.020408163265303,male,0.5019850340136064,2,1,2
eval,9.104761904761904,all,0.473970612244897,2,1,2
eval,13.1156462585034,female,0.6692761904761901,4,1,4
eval,7.3916666666666675,male,0.373130952380952,4,1,4
eval,8.261224489795914,all,0.4739727891156456,4,1,4
eval,9.693333333333332,female,0.4989551020408168,7,1,7
eval,10.693877551020403,male,0.483582312925169,7,1,7
eval,10.245333333333331,all,0.4915885714285717,7,1,7
eval,7.32,female,0.3663877551020408,8,1,8
eval,8.013605442176875,male,0.4334265306122444,8,1,8
eval,8.019047619047615,all,0.4450987755102044,8,1,8
eval,3.5000000000000004,female,0.212374149659864,9_9,2,9
eval,2.690476190476188,male,0.1953870748299314,9_9,2,9
eval,3.153741496598639,all,0.2118876190476189,9_9,2,9
eval,0.8435374149659891,female,0.0554299319727896,6_6,2,6
eval,2.1564625850340136,male,0.1439486394557816,6_6,2,6
eval,1.968,all,0.1285153741496596,6_6,2,6
eval,1.4965986394557818,female,0.0968040816326522,7_7,2,7
eval,2.9931972789115635,male,0.1521823129251695,7_7,2,7
eval,2.688435374149656,all,0.1380712925170059,7_7,2,7
eval,2.3866666666666667,female,0.1314367346938781,3_3,2,3
eval,2.433333333333333,male,0.1406833333333327,3_3,2,3
eval,2.401333333333333,all,0.1367687074829925,3_3,2,3
eval,1.7414965986394582,female,0.0968040816326522,8_8,2,8
eval,1.9466666666666668,male,0.1523071428571424,8_8,2,8
eval,2.397333333333333,all,0.1823787755102038,8_8,2,8
eval,4.775510204081634,female,0.3179551020408168,1_1,2,1
eval,3.035,male,0.2121176870748297,1_1,2,1
eval,3.643537414965992,all,0.2565746938775509,1_1,2,1
eval,3.3266666666666667,female,0.1800775510204079,2_2,2,2
eval,1.8016666666666667,male,0.1086360544217676,2_2,2,2
eval,2.021768707482996,all,0.1174816326530606,2_2,2,2
eval,5.387755102040814,female,0.336318367346939,4_4,2,4
eval,1.3605442176870763,male,0.0727741496598634,4_4,2,4
eval,2.292,all,0.1765706122448975,4_4,2,4
eval,3.074829931972789,female,0.192674829931972,5_5,2,5
eval,1.710884353741493,male,0.1114258503401356,5_5,2,5
eval,1.9863945578231343,all,0.1455907482993203,5_5,2,5
eval,4.6938775510204085,female,0.1859047619047626,0_0,2,0
eval,3.1258503401360493,male,0.1975734693877549,0_0,2,0
eval,3.644,all,0.2190650340136054,0_0,2,0
eval,1.4066666666666667,female,0.0943129251700673,9_9_9,3,9
eval,1.17006802721088,male,0.0849462585034006,9_9_9,3,9
eval,1.387755102040822,all,0.1012068027210874,9_9_9,3,9
eval,4.149659863945576,female,0.2086353741496588,0_0_0,3,0
eval,0.4387755102040813,male,0.0284561224489806,0_0_0,3,0
eval,1.292517006802718,all,0.0936304761904758,0_0_0,3,0
eval,0.8200000000000001,female,0.043991836734694,2_2_2,3,2
eval,0.6904761904761858,male,0.0377993197278901,2_2_2,3,2
eval,0.7066666666666667,all,0.0383510204081642,2_2_2,3,2
eval,0.2040816326530636,female,0.0092421768707478,6_6_6,3,6
eval,0.7006802721088445,male,0.0691659863945582,6_6_6,3,6
eval,0.6346666666666666,all,0.0566990476190473,6_6_6,3,6
eval,2.046666666666667,female,0.1195102040816333,1_1_1,3,1
eval,1.4433333333333334,male,0.1257132653061222,1_1_1,3,1
eval,1.5619047619047643,all,0.1241096598639447,1_1_1,3,1
eval,0.7666666666666666,female,0.0303632653061214,3_3_3,3,3
eval,1.0714285714285676,male,0.0828897959183675,3_3_3,3,3
eval,1.1210884353741513,all,0.075431020408164,3_3_3,3,3
eval,0.66,female,0.0328734693877548,7_7_7,3,7
eval,1.3583333333333332,male,0.0833357142857151,7_7_7,3,7
eval,1.2546666666666666,all,0.0766378231292507,7_7_7,3,7
eval,2.5866666666666664,female,0.1386435374149662,5_5_5,3,5
eval,0.83673469387755,male,0.0515887755102047,5_5_5,3,5
eval,1.191836734693874,all,0.0748778231292507,5_5_5,3,5
eval,1.4200000000000002,female,0.1170380952380948,4_4_4,3,4
eval,0.4557823129251681,male,0.0346289115646265,4_4_4,3,4
eval,0.8306666666666667,all,0.0731774149659865,4_4_4,3,4
eval,0.4,female,0.0339333333333339,8_8_8,3,8
eval,1.0000000000000009,male,0.0588336734693884,8_8_8,3,8
eval,1.104,all,0.0631172789115641,8_8_8,3,8
eval,0.5466666666666666,female,0.0360163265306126,2_2_2_2,4,2
eval,0.4866666666666667,male,0.0287095238095229,2_2_2_2,4,2
eval,0.4826666666666667,all,0.0259344217687068,2_2_2_2,4,2
eval,0.5850340136054455,female,0.0265115646258495,9_9_9_9,4,9
eval,0.6166666666666667,male,0.0418034013605448,9_9_9_9,4,9
eval,0.6122448979591799,all,0.0388454421768707,9_9_9_9,4,9
eval,0.2133333333333333,female,0.0116068027210882,7_7_7_7,4,7
eval,0.9693877551020358,male,0.0556676870748295,7_7_7_7,4,7
eval,0.7986666666666666,all,0.046338503401361,7_7_7_7,4,7
eval,0.3066666666666667,female,0.0091156462585034,3_3_3_3,4,3
eval,0.387755102040821,male,0.0312557823129261,3_3_3_3,4,3
eval,0.4026666666666666,all,0.0280487074829933,3_3_3_3,4,3
eval,1.4066666666666667,female,0.0618857142857134,0_0_0_0,4,0
eval,0.5633333333333334,male,0.0217649659863938,0_0_0_0,4,0
eval,1.0312925170067988,all,0.0595322448979594,0_0_0_0,4,0
eval,0.5333333333333333,female,0.0378462585034003,5_5_5_5,4,5
eval,0.4566666666666666,male,0.0270476190476183,5_5_5_5,4,5
eval,0.5773333333333334,all,0.0413338775510205,5_5_5_5,4,5
eval,0.0680272108843582,female,0.002899319727891,6_6_6_6,4,6
eval,0.3129251700680235,male,0.0191037414965981,6_6_6_6,4,6
eval,0.2612244897959193,all,0.0156095238095233,6_6_6_6,4,6
eval,0.2312925170067981,female,0.0136380952380946,8_8_8_8,4,8
eval,0.4965986394557808,male,0.0229894557823122,8_8_8_8,4,8
eval,0.4897959183673417,all,0.0231082993197278,8_8_8_8,4,8
eval,0.7666666666666666,female,0.0486693877551024,1_1_1_1,4,1
eval,0.4966666666666667,male,0.0282462585034005,1_1_1_1,4,1
eval,0.656,all,0.0358223129251703,1_1_1_1,4,1
eval,1.2333333333333334,female,0.1342136054421759,4_4_4_4,4,4
eval,0.2249999999999999,male,0.0127982993197273,4_4_4_4,4,4
eval,0.596,all,0.0618854421768709,4_4_4_4,4,4
eval,0.2993197278911563,female,0.0126952380952379,1_1_1_1_1,5,1
eval,0.4166666666666667,male,0.0278122448979582,1_1_1_1_1,5,1
eval,0.4066666666666666,all,0.0254775510204073,1_1_1_1_1,5,1
eval,0.22,female,0.0152380952380952,5_5_5_5_5,5,5
eval,0.2074829931972832,male,0.0124863945578227,5_5_5_5_5,5,5
eval,0.239455782312925,all,0.0142432653061222,5_5_5_5_5,5,5
eval,1.3066666666666666,female,0.0883401360544218,4_4_4_4_4,5,4
eval,0.1734693877550985,male,0.0084727891156459,4_4_4_4_4,5,4
eval,0.5278911564625899,all,0.0595156462585042,4_4_4_4_4,5,4
eval,0.0666666666666666,female,0.001360544217687,3_3_3_3_3,5,3
eval,0.2721088435374108,male,0.0309778911564617,3_3_3_3_3,5,3
eval,0.2448979591836764,all,0.0255186394557825,3_3_3_3_3,5,3
eval,0.0272108843537455,female,0.0016748299319726,6_6_6_6_6,5,6
eval,0.255102040816324,male,0.0253129251700673,6_6_6_6_6,5,6
eval,0.2106666666666667,all,0.0204952380952375,6_6_6_6_6,5,6
