word,accuracy
close,0.9972222222222222
zoom in,0.9972222222222222
receive,0.9958333333333332
send,0.9953703703703703
two,0.9930555555555555
enter,0.9930555555555555
three,0.9921296296296296
eight,0.9912037037037037
previous,0.9907407407407408
next,0.9898148148148148
zoom out,0.9884259259259259
cancel,0.9874999999999999
seven,0.9856481481481482
rotate,0.9851851851851853
enable,0.9851851851851853
left,0.9824074074074073
direction,0.9810185185185185
forward,0.9796296296296297
five,0.9796296296296295
ok,0.9777777777777777
disable,0.9763888888888889
record,0.975462962962963
right,0.9745370370370371
move,0.9712962962962962
undo,0.9685185185185184
six,0.9657407407407407
down,0.9648148148148149
four,0.9648148148148148
no,0.9629629629629629
one,0.9583333333333334
options,0.9574074074074074
stop,0.9574074074074074
nine,0.950925925925926
backward,0.9467592592592592
up,0.9462962962962963
yes,0.9462962962962963
start,0.9425925925925926
digit,0.936111111111111
open,0.9273148148148147
zero,0.8592592592592593
