word,accuracy,var
no,0.9617486338797815,0.0005016572605930291
down,0.9508196721311476,0.0008532652512765344
seven,0.9494535519125682,0.0001254143151482561
right,0.9357923497267758,0.00046806414046402986
yes,0.9289617486338798,0.000279942667741646
eight,0.9241803278688524,0.0011875167965600655
zero,0.921448087431694,0.0004462286123801863
one,0.9180327868852459,0.0005307712980381628
nine,0.912568306010929,0.0002933799157932448
left,0.9050546448087432,0.0001506091552450065
on,0.9043715846994536,0.00032025441189644454
five,0.9016393442622951,3.3593120128997605e-05
four,0.9009562841530054,0.0008627833019797555
stop,0.8968579234972678,0.00034544925199318994
go,0.8941256830601093,0.0013935546000179134
six,0.8879781420765028,0.001005554062527994
three,0.8784153005464481,9.182119501926007e-05
off,0.8777322404371585,0.0001506091552450066
two,0.8674863387978142,0.0006897787333154184
up,0.8224043715846995,0.0008039953417540073
