word,accuracy,var
close,0.9972222222222222,1.8518518518518115e-05
zoom in,0.9972222222222222,1.8518518518517763e-05
receive,0.9958333333333332,4.8611111111111935e-05
send,0.9953703703703703,2.6748971193415255e-05
two,0.9930555555555555,6.712962962963082e-05
enter,0.9930555555555555,0.00012268518518518612
three,0.9921296296296296,4.449588477366321e-05
eight,0.9912037037037037,5.684156378600988e-05
previous,0.9907407407407408,8.539094650205811e-05
next,0.9898148148148148,0.00015020576131687146
zoom out,0.9884259259259259,0.00012782921810699664
cancel,0.9874999999999999,0.00017206790123456802
seven,0.9856481481481482,0.000180298353909465
rotate,0.9851851851851853,0.00019650205761316932
enable,0.9851851851851853,0.00014094650205761342
left,0.9824074074074073,1.7489711934156452e-05
direction,0.9810185185185185,0.00020190329218107184
forward,0.9796296296296297,0.00028292181069958775
five,0.9796296296296295,2.98353909465017e-05
ok,0.9777777777777777,0.00023148148148148108
disable,0.9763888888888889,7.947530864197376e-05
record,0.975462962962963,0.0001247427983539072
right,0.9745370370370371,9.387860082304378e-05
move,0.9712962962962962,0.00016563786008230236
undo,0.9685185185185184,0.0001532921810699582
six,0.9657407407407407,0.0003786008230452666
down,0.9648148148148149,0.00011934156378600816
four,0.9648148148148148,0.00033847736625514525
no,0.9629629629629629,0.00014403292181069846
one,0.9583333333333334,0.0001604938271604924
options,0.9574074074074074,0.00030761316872428003
stop,0.9574074074074074,0.000239711934156377
nine,0.950925925925926,9.465020576131768e-05
backward,0.9467592592592592,0.0003407921810699613
up,0.9462962962962963,8.539094650205782e-05
yes,0.9462962962962963,0.00040020576131687136
start,0.9425925925925926,0.0004125514403292193
digit,0.936111111111111,0.0001296296296296301
open,0.9273148148148147,0.00045498971193415816
zero,0.8592592592592593,9.773662551440373e-05
