word,accuracy,var
zoom in,0.9966666666666666,1.5972222222222078e-05
close,0.9959259259259259,2.6466049382715724e-05
receive,0.9957407407407407,4.521604938271614e-05
send,0.9939506172839506,2.495713305898464e-05
three,0.9932716049382715,3.444787379972618e-05
enter,0.9916666666666667,8.472222222222252e-05
previous,0.9908641975308642,7.932956104252419e-05
next,0.990246913580247,0.00010911351165980704
two,0.9901851851851853,6.419753086419804e-05
eight,0.9896913580246913,5.178326474622853e-05
cancel,0.9887037037037038,0.00012561728395061713
zoom out,0.9870987654320987,8.75600137174215e-05
seven,0.9859876543209877,0.0001240569272976678
rotate,0.9841975308641975,0.00015093449931412897
direction,0.9829012345679013,0.00014527606310013808
forward,0.9827160493827161,0.00020196330589849064
left,0.9816049382716048,2.3491083676268855e-05
enable,0.9804938271604939,0.00016353737997256546
ok,0.977037037037037,0.00016072530864197457
disable,0.9761111111111112,7.577160493827062e-05
record,0.9754938271604937,8.167009602194636e-05
five,0.9753086419753085,9.399005486968335e-05
right,0.9733950617283951,0.00010975651577503366
six,0.9719753086419752,0.00038334190672153465
down,0.9713580246913581,0.00017462277091906853
move,0.9704938271604937,0.0001086762688614525
no,0.9664197530864198,0.00012801783264746117
four,0.9639506172839507,0.0002169324417009611
undo,0.9619753086419753,0.0002180641289437571
options,0.9612345679012346,0.0002511402606310013
one,0.9596296296296296,0.00013001543209876436
nine,0.9554320987654322,0.00010854766803840972
stop,0.9538271604938272,0.000189771947873798
yes,0.9501234567901236,0.000331232853223593
backward,0.9482098765432099,0.00022143347050754608
start,0.9461728395061729,0.00033112997256515953
up,0.9419753086419753,0.00010649005486968484
digit,0.9374074074074072,0.0002292438271604955
open,0.9300617283950616,0.0003494941700960235
zero,0.8661728395061729,0.0002464077503429356
