phase,eer,gender,minDCF,text,loop,word
eval,11.15646258503401,female,0.8877306122448978,9_1,2,9
eval,10.295918367346935,male,0.9018527210884356,9_1,2,9
eval,10.802721088435375,all,0.911863401360545,9_1,2,9
eval,12.2,female,0.8624190476190472,9_6,2,9
eval,11.027210884353744,male,0.8567887755102039,9_6,2,9
eval,11.744217687074832,all,0.8892963265306122,9_6,2,9
eval,12.386666666666667,female,0.8355088435374158,1_6,2,1
eval,10.591666666666667,male,0.8954931972789106,1_6,2,1
eval,11.36326530612245,all,0.8963420408163273,1_6,2,1
eval,11.106666666666666,female,0.8583687074829924,1_9,2,1
eval,10.93877551020408,male,0.9179316326530603,1_9,2,1
eval,11.417333333333334,all,0.9194353741496608,1_9,2,1
eval,12.64,female,0.8755809523809523,9_0,2,9
eval,12.076666666666666,male,0.8971312925170061,9_0,2,9
eval,12.470748299319723,all,0.9054168707482994,9_0,2,9
eval,8.459999999999999,female,0.7413523809523807,6_3,2,6
eval,10.914965986394554,male,0.784225510204082,6_3,2,6
eval,10.374666666666666,all,0.7762062585034011,6_3,2,6
eval,12.721088435374151,female,0.9152761904761909,0_9,2,0
eval,12.958333333333332,male,0.888324829931972,0_9,2,0
eval,13.023129251700682,all,0.8961779591836745,0_9,2,0
eval,12.312925170068024,female,0.8406122448979594,6_1,2,6
eval,10.671666666666667,male,0.8780163265306129,6_1,2,6
eval,11.178231292517005,all,0.890005170068027,6_1,2,6
eval,10.673333333333334,female,0.8873727891156465,3_9,2,3
eval,11.223333333333334,male,0.9138261904761907,3_9,2,3
eval,11.206666666666667,all,0.9136764625850337,3_9,2,3
eval,10.761904761904761,female,0.8890680272108853,9_3,2,9
eval,10.241496598639454,male,0.8811581632653057,9_3,2,9
eval,10.443537414965986,all,0.8979559183673466,9_3,2,9
eval,14.068027210884349,female,0.8639999999999994,1_0,2,1
eval,13.075000000000001,male,0.9110129251700688,1_0,2,1
eval,14.062585034013608,all,0.9308231292517014,1_0,2,1
eval,10.204081632653061,female,0.9019129251700673,3_1,2,3
eval,11.397959183673468,male,0.8894010204081638,3_1,2,3
eval,11.283999999999999,all,0.8973567346938771,3_1,2,3
eval,10.911564625850346,female,0.9265265306122441,1_3,2,1
eval,11.006802721088437,male,0.8974775510204076,1_3,2,1
eval,11.069333333333335,all,0.9145888435374158,1_3,2,1
eval,14.626666666666665,female,0.9273183673469383,0_1,2,0
eval,13.629251700680268,male,0.9229530612244905,0_1,2,0
eval,13.938666666666666,all,0.926174149659863,0_1,2,0
eval,11.170068027210888,female,0.8285360544217685,0_3,2,0
eval,12.873333333333333,male,0.8613778911564635,0_3,2,0
eval,12.533333333333333,all,0.859600544217688,0_3,2,0
eval,12.5578231292517,female,0.8683102040816324,6_9,2,6
eval,11.308333333333334,male,0.8630197278911574,6_9,2,6
eval,11.990666666666666,all,0.8912247619047611,6_9,2,6
eval,9.433333333333334,female,0.7737782312925162,6_0,2,6
eval,10.676870748299317,male,0.844302380952382,6_0,2,6
eval,10.521333333333335,all,0.8334413605442167,6_0,2,6
eval,10.802721088435375,female,0.8144108843537408,0_6,2,0
eval,10.646258503401363,male,0.841511224489795,0_6,2,0
eval,10.692,all,0.8410574149659859,0_6,2,0
eval,11.047619047619051,female,0.7677278911564628,3_0,2,3
eval,13.355,male,0.8970789115646263,3_0,2,3
eval,12.888,all,0.8776021768707473,3_0,2,3
eval,8.546666666666667,female,0.7738394557823137,3_6,2,3
eval,10.017006802721085,male,0.7985272108843536,3_6,2,3
eval,9.701333333333332,all,0.7957719727891163,3_6,2,3
