phase,eer,gender,minDCF,text,loop,word
eval,16.959064327485386,male,0.5614035087719298,0,1,0
eval,15.000000000000002,male,0.5111111111111111,3,1,3
eval,12.777777777777777,male,0.6472222222222216,6,1,6
eval,9.999999999999998,male,0.4111111111111111,1,1,1
eval,18.88888888888889,male,0.8611111111111112,5,1,5
eval,11.111111111111116,male,0.6638888888888886,9,1,9
eval,10.555555555555555,male,0.5,2,1,2
eval,14.444444444444448,male,0.547222222222222,4,1,4
eval,9.999999999999998,male,0.3361111111111109,7,1,7
eval,15.555555555555555,male,0.5916666666666665,8,1,8
eval,11.66666666666667,male,0.6416666666666665,9_9,2,9
eval,18.055555555555557,male,0.4916666666666661,6_6,2,6
eval,6.666666666666665,male,0.5111111111111107,7_7,2,7
eval,6.388888888888888,male,0.3194444444444442,3_3,2,3
eval,8.61111111111111,male,0.2,8_8,2,8
eval,13.055555555555555,male,0.3722222222222218,1_1,2,1
eval,7.222222222222221,male,0.2749999999999998,2_2,2,2
eval,4.444444444444439,male,0.1749999999999998,4_4,2,4
eval,15.0,male,0.3166666666666666,5_5,2,5
eval,10.555555555555555,male,0.5388888888888889,0_0,2,0
eval,7.222222222222221,male,0.4027777777777775,9_9_9,3,9
eval,9.444444444444445,male,0.5666666666666659,0_0_0,3,0
eval,2.777777777777779,male,0.1888888888888888,2_2_2,3,2
eval,5.0,male,0.3499999999999999,6_6_6,3,6
eval,7.777777777777772,male,0.247222222222222,1_1_1,3,1
eval,9.999999999999998,male,0.3666666666666666,3_3_3,3,3
eval,8.888888888888891,male,0.4222222222222222,7_7_7,3,7
eval,11.111111111111116,male,0.4000000000000001,5_5_5,3,5
eval,9.064327485380115,male,0.2807017543859649,4_4_4,3,4
eval,5.833333333333333,male,0.4555555555555555,8_8_8,3,8
eval,10.555555555555552,male,0.3638888888888887,2_2_2_2,4,2
eval,13.33333333333333,male,0.4083333333333331,9_9_9_9,4,9
eval,9.941520467836265,male,0.2923976608187134,7_7_7_7,4,7
eval,12.5,male,0.3166666666666666,3_3_3_3,4,3
eval,6.111111111111112,male,0.4111111111111107,0_0_0_0,4,0
eval,3.888888888888886,male,0.2416666666666664,5_5_5_5,4,5
eval,7.777777777777772,male,0.3722222222222222,6_6_6_6,4,6
eval,6.441717791411043,male,0.2883435582822086,8_8_8_8,4,8
eval,7.5,male,0.2416666666666664,1_1_1_1,4,1
eval,3.888888888888886,male,0.2111111111111111,4_4_4_4,4,4
eval,5.555555555555558,male,0.15,1_1_1_1_1,5,1
eval,7.222222222222219,male,0.4861111111111102,5_5_5_5_5,5,5
eval,4.444444444444439,male,0.3583333333333331,4_4_4_4_4,5,4
eval,8.055555555555555,male,0.3416666666666664,3_3_3_3_3,5,3
eval,5.000000000000004,male,0.2249999999999998,6_6_6_6_6,5,6
eval,6.111111111111112,male,0.2694444444444442,2_2_2_2_2,5,2
eval,14.722222222222223,male,0.5222222222222223,8_8_8_8_8,5,8
eval,6.944444444444445,male,0.2666666666666666,7_7_7_7_7,5,7
eval,7.5,male,0.2055555555555555,0_0_0_0_0,5,0
eval,8.408408408408407,male,0.3783783783783784,9_9_9_9_9,5,9
