phase,eer,gender,minDCF,text,loop,word
eval,8.771929824561408,male,0.3450292397660818,0,1,0
eval,12.777777777777777,male,0.4166666666666667,3,1,3
eval,10.0,male,0.3305555555555554,6,1,6
eval,4.166666666666666,male,0.1388888888888889,1,1,1
eval,10.555555555555555,male,0.3249999999999998,5,1,5
eval,5.555555555555558,male,0.1916666666666664,9,1,9
eval,6.111111111111112,male,0.3055555555555556,2,1,2
eval,12.222222222222223,male,0.2916666666666664,4,1,4
eval,6.111111111111112,male,0.2888888888888888,7,1,7
eval,10.555555555555552,male,0.3527777777777775,8,1,8
eval,2.7777777777777777,male,0.294444444444444,9_9,2,9
eval,7.777777777777772,male,0.3722222222222222,6_6,2,6
eval,1.6666666666666718,male,0.1611111111111107,7_7,2,7
eval,8.61111111111111,male,0.3611111111111111,3_3,2,3
eval,3.888888888888889,male,0.1861111111111109,8_8,2,8
eval,2.5,male,0.1111111111111111,1_1,2,1
eval,2.222222222222225,male,0.2638888888888883,2_2,2,2
eval,5.277777777777778,male,0.2583333333333331,4_4,2,4
eval,3.888888888888886,male,0.2527777777777776,5_5,2,5
eval,4.444444444444439,male,0.2666666666666666,0_0,2,0
eval,0.5555555555555536,male,0.0055555555555555,9_9_9,3,9
eval,5.277777777777778,male,0.1805555555555553,0_0_0,3,0
eval,1.1111111111111072,male,0.0166666666666666,2_2_2,3,2
eval,2.222222222222225,male,0.2916666666666657,6_6_6,3,6
eval,1.6666666666666718,male,0.1111111111111111,1_1_1,3,1
eval,8.61111111111111,male,0.1833333333333333,3_3_3,3,3
eval,2.777777777777779,male,0.2583333333333331,7_7_7,3,7
eval,3.611111111111111,male,0.2194444444444442,5_5_5,3,5
eval,3.508771929824561,male,0.1228070175438596,4_4_4,3,4
eval,1.9444444444444444,male,0.1666666666666662,8_8_8,3,8
eval,7.777777777777778,male,0.3361111111111109,2_2_2_2,4,2
eval,5.000000000000004,male,0.2388888888888889,9_9_9_9,4,9
eval,1.461988304093567,male,0.1111111111111111,7_7_7_7,4,7
eval,6.666666666666667,male,0.2805555555555554,3_3_3_3,4,3
eval,3.333333333333333,male,0.3055555555555556,0_0_0_0,4,0
eval,1.1111111111111112,male,0.0722222222222222,5_5_5_5,4,5
eval,5.555555555555558,male,0.2027777777777775,6_6_6_6,4,6
eval,4.294478527607359,male,0.2085889570552147,8_8_8_8,4,8
eval,3.3333333333333326,male,0.1222222222222222,1_1_1_1,4,1
eval,2.777777777777779,male,0.2249999999999998,4_4_4_4,4,4
eval,1.6666666666666718,male,0.05,1_1_1_1_1,5,1
eval,6.666666666666667,male,0.3666666666666663,5_5_5_5_5,5,5
eval,5.000000000000004,male,0.3666666666666658,4_4_4_4_4,5,4
eval,9.444444444444445,male,0.4694444444444438,3_3_3_3_3,5,3
eval,2.777777777777779,male,0.2333333333333329,6_6_6_6_6,5,6
eval,1.9444444444444444,male,0.1638888888888887,2_2_2_2_2,5,2
eval,2.7777777777777777,male,0.0944444444444444,8_8_8_8_8,5,8
eval,2.7777777777777777,male,0.0777777777777777,7_7_7_7_7,5,7
eval,4.444444444444445,male,0.2333333333333333,0_0_0_0_0,5,0
eval,4.804804804804808,male,0.2476336518889699,9_9_9_9_9,5,9
