phase,eer,gender,minDCF,text,loop,word
eval,15.789473684210533,male,0.5058479532163737,0,1,0
eval,12.222222222222223,male,0.5888888888888889,3,1,3
eval,21.111111111111114,male,0.6694444444444438,6,1,6
eval,8.888888888888891,male,0.5083333333333331,1,1,1
eval,16.11111111111111,male,0.7638888888888886,5,1,5
eval,11.944444444444445,male,0.6444444444444445,9,1,9
eval,5.833333333333333,male,0.2833333333333333,2,1,2
eval,8.333333333333337,male,0.4583333333333331,4,1,4
eval,7.222222222222221,male,0.4388888888888885,7,1,7
eval,10.555555555555555,male,0.4833333333333334,8,1,8
eval,8.055555555555555,male,0.4527777777777776,9_9,2,9
eval,16.666666666666664,male,0.4111111111111111,6_6,2,6
eval,5.277777777777778,male,0.3611111111111107,7_7,2,7
eval,5.000000000000004,male,0.3166666666666662,3_3,2,3
eval,14.444444444444448,male,0.4361111111111109,8_8,2,8
eval,10.555555555555552,male,0.2861111111111109,1_1,2,1
eval,11.111111111111116,male,0.3499999999999996,2_2,2,2
eval,4.444444444444445,male,0.3916666666666657,4_4,2,4
eval,14.444444444444448,male,0.394444444444444,5_5,2,5
eval,11.66666666666667,male,0.4638888888888887,0_0,2,0
eval,6.388888888888888,male,0.3666666666666663,9_9_9,3,9
eval,8.61111111111111,male,0.4611111111111103,0_0_0,3,0
eval,6.666666666666667,male,0.2,2_2_2,3,2
eval,7.222222222222219,male,0.4388888888888881,6_6_6,3,6
eval,5.833333333333333,male,0.1055555555555555,1_1_1,3,1
eval,11.111111111111116,male,0.3694444444444442,3_3_3,3,3
eval,6.111111111111112,male,0.3166666666666666,7_7_7,3,7
eval,12.777777777777777,male,0.4416666666666664,5_5_5,3,5
eval,6.432748538011701,male,0.2953216374269,4_4_4,3,4
eval,5.555555555555558,male,0.2611111111111111,8_8_8,3,8
eval,12.777777777777777,male,0.5444444444444441,2_2_2_2,4,2
eval,15.833333333333332,male,0.480555555555555,9_9_9_9,4,9
eval,5.263157894736848,male,0.3099415204678373,7_7_7_7,4,7
eval,13.888888888888884,male,0.4749999999999994,3_3_3_3,4,3
eval,4.444444444444439,male,0.3166666666666666,0_0_0_0,4,0
eval,5.555555555555558,male,0.2611111111111107,5_5_5_5,4,5
eval,5.555555555555558,male,0.4833333333333329,6_6_6_6,4,6
eval,4.907975460122705,male,0.2668711656441714,8_8_8_8,4,8
eval,4.722222222222222,male,0.3777777777777777,1_1_1_1,4,1
eval,7.777777777777772,male,0.1833333333333333,4_4_4_4,4,4
eval,6.111111111111111,male,0.2305555555555553,1_1_1_1_1,5,1
eval,9.444444444444445,male,0.5194444444444443,5_5_5_5_5,5,5
eval,7.222222222222219,male,0.3611111111111111,4_4_4_4_4,5,4
eval,8.88888888888889,male,0.3138888888888886,3_3_3_3_3,5,3
eval,5.555555555555558,male,0.3722222222222218,6_6_6_6_6,5,6
eval,7.222222222222221,male,0.4194444444444442,2_2_2_2_2,5,2
eval,10.0,male,0.3749999999999998,8_8_8_8_8,5,8
eval,10.555555555555555,male,0.2,7_7_7_7_7,5,7
eval,7.777777777777778,male,0.294444444444444,0_0_0_0_0,5,0
eval,12.612612612612615,male,0.3813813813813814,9_9_9_9_9,5,9
