phase,eer,gender,minDCF,text,loop,word
eval,8.771929824561408,male,0.3888888888888894,0,1,0
eval,13.333333333333334,male,0.5249999999999994,3,1,3
eval,13.33333333333333,male,0.4666666666666663,6,1,6
eval,3.333333333333333,male,0.2166666666666662,1,1,1
eval,12.222222222222223,male,0.3111111111111111,5,1,5
eval,6.666666666666665,male,0.2416666666666664,9,1,9
eval,2.777777777777779,male,0.1166666666666666,2,1,2
eval,10.555555555555552,male,0.2388888888888889,4,1,4
eval,5.000000000000004,male,0.3166666666666666,7,1,7
eval,7.222222222222219,male,0.3555555555555555,8,1,8
eval,4.444444444444445,male,0.1277777777777777,9_9,2,9
eval,6.111111111111112,male,0.3277777777777778,6_6,2,6
eval,2.222222222222225,male,0.1611111111111107,7_7,2,7
eval,7.777777777777778,male,0.2777777777777774,3_3,2,3
eval,7.777777777777778,male,0.1555555555555555,8_8,2,8
eval,4.166666666666666,male,0.1277777777777777,1_1,2,1
eval,2.222222222222225,male,0.2472222222222216,2_2,2,2
eval,5.000000000000004,male,0.1444444444444444,4_4,2,4
eval,3.888888888888886,male,0.2138888888888887,5_5,2,5
eval,6.111111111111112,male,0.3,0_0,2,0
eval,1.9444444444444444,male,0.1388888888888885,9_9_9,3,9
eval,4.444444444444439,male,0.2194444444444442,0_0_0,3,0
eval,0.0,male,0.0,2_2_2,3,2
eval,2.222222222222225,male,0.2277777777777773,6_6_6,3,6
eval,1.3888888888888888,male,0.0333333333333333,1_1_1,3,1
eval,12.22222222222222,male,0.3805555555555553,3_3_3,3,3
eval,2.777777777777779,male,0.2249999999999994,7_7_7,3,7
eval,3.611111111111111,male,0.280555555555555,5_5_5,3,5
eval,5.555555555555555,male,0.1520467836257309,4_4_4,3,4
eval,3.055555555555556,male,0.1611111111111111,8_8_8,3,8
eval,5.000000000000004,male,0.3749999999999998,2_2_2_2,4,2
eval,0.5555555555555536,male,0.0055555555555555,9_9_9_9,4,9
eval,1.7543859649122862,male,0.1461988304093577,7_7_7_7,4,7
eval,10.555555555555555,male,0.3722222222222222,3_3_3_3,4,3
eval,3.3333333333333326,male,0.15,0_0_0_0,4,0
eval,1.1111111111111112,male,0.097222222222222,5_5_5_5,4,5
eval,2.222222222222225,male,0.2388888888888881,6_6_6_6,4,6
eval,4.907975460122705,male,0.1779141104294478,8_8_8_8,4,8
eval,2.222222222222225,male,0.1416666666666664,1_1_1_1,4,1
eval,4.444444444444439,male,0.2194444444444442,4_4_4_4,4,4
eval,0.2777777777777778,male,0.0111111111111111,1_1_1_1_1,5,1
eval,3.611111111111111,male,0.3222222222222214,5_5_5_5_5,5,5
eval,4.444444444444445,male,0.344444444444444,4_4_4_4_4,5,4
eval,6.388888888888888,male,0.3083333333333331,3_3_3_3_3,5,3
eval,2.2222222222222223,male,0.1999999999999996,6_6_6_6_6,5,6
eval,2.5,male,0.2722222222222218,2_2_2_2_2,5,2
eval,7.222222222222219,male,0.4000000000000001,8_8_8_8_8,5,8
eval,1.6666666666666718,male,0.0444444444444444,7_7_7_7_7,5,7
eval,2.222222222222225,male,0.1722222222222222,0_0_0_0_0,5,0
eval,1.82370820668693,male,0.0937867959144549,9_9_9_9_9,5,9
