phase,eer,gender,minDCF,text,loop,word
eval,15.789473684210526,male,0.584795321637428,0,1,0
eval,7.777777777777772,male,0.2444444444444444,3,1,3
eval,19.444444444444443,male,0.647222222222222,6,1,6
eval,9.999999999999998,male,0.3416666666666664,1,1,1
eval,18.88888888888889,male,0.6972222222222221,5,1,5
eval,11.111111111111116,male,0.4333333333333333,9,1,9
eval,8.888888888888891,male,0.3638888888888883,2,1,2
eval,14.444444444444448,male,0.45,4,1,4
eval,8.61111111111111,male,0.5583333333333331,7,1,7
eval,15.000000000000002,male,0.7722222222222215,8,1,8
eval,7.777777777777772,male,0.4916666666666665,9_9,2,9
eval,16.944444444444446,male,0.6222222222222222,6_6,2,6
eval,5.000000000000004,male,0.3972222222222216,7_7,2,7
eval,3.888888888888886,male,0.2972222222222216,3_3,2,3
eval,13.33333333333333,male,0.3388888888888889,8_8,2,8
eval,10.555555555555552,male,0.2611111111111111,1_1,2,1
eval,8.61111111111111,male,0.3694444444444442,2_2,2,2
eval,6.111111111111112,male,0.2999999999999996,4_4,2,4
eval,10.0,male,0.4666666666666667,5_5,2,5
eval,10.555555555555555,male,0.4611111111111107,0_0,2,0
eval,9.166666666666666,male,0.3416666666666664,9_9_9,3,9
eval,9.444444444444445,male,0.4222222222222222,0_0_0,3,0
eval,11.66666666666667,male,0.2722222222222222,2_2_2,3,2
eval,5.277777777777778,male,0.5944444444444441,6_6_6,3,6
eval,6.666666666666665,male,0.2583333333333331,1_1_1,3,1
eval,7.777777777777778,male,0.3138888888888886,3_3_3,3,3
eval,4.444444444444445,male,0.3305555555555554,7_7_7,3,7
eval,7.777777777777778,male,0.3999999999999996,5_5_5,3,5
eval,3.216374269005848,male,0.0760233918128654,4_4_4,3,4
eval,8.888888888888891,male,0.1888888888888888,8_8_8,3,8
eval,14.444444444444448,male,0.4749999999999997,2_2_2_2,4,2
eval,12.222222222222223,male,0.3444444444444444,9_9_9_9,4,9
eval,7.894736842105263,male,0.3888888888888883,7_7_7_7,4,7
eval,15.555555555555555,male,0.4749999999999997,3_3_3_3,4,3
eval,10.555555555555552,male,0.4777777777777778,0_0_0_0,4,0
eval,5.555555555555558,male,0.25,5_5_5_5,4,5
eval,3.055555555555556,male,0.3138888888888883,6_6_6_6,4,6
eval,9.8159509202454,male,0.3374233128834356,8_8_8_8,4,8
eval,8.61111111111111,male,0.2833333333333333,1_1_1_1,4,1
eval,6.666666666666665,male,0.1444444444444444,4_4_4_4,4,4
eval,7.222222222222219,male,0.1944444444444444,1_1_1_1_1,5,1
eval,8.888888888888891,male,0.5249999999999994,5_5_5_5_5,5,5
eval,2.777777777777779,male,0.2055555555555555,4_4_4_4_4,5,4
eval,9.999999999999998,male,0.3277777777777778,3_3_3_3_3,5,3
eval,3.888888888888886,male,0.3388888888888881,6_6_6_6_6,5,6
eval,9.722222222222223,male,0.3611111111111111,2_2_2_2_2,5,2
eval,7.222222222222219,male,0.3361111111111104,8_8_8_8_8,5,8
eval,5.000000000000004,male,0.3111111111111111,7_7_7_7_7,5,7
eval,6.111111111111111,male,0.2194444444444442,0_0_0_0_0,5,0
eval,13.069908814589663,male,0.3123123123123123,9_9_9_9_9,5,9
