phase,eer,gender,minDCF,text,loop,word
eval,10.526315789473683,male,0.3245614035087714,0,1,0
eval,11.66666666666667,male,0.4444444444444444,3,1,3
eval,7.777777777777778,male,0.4638888888888887,6,1,6
eval,4.444444444444439,male,0.2027777777777775,1,1,1
eval,14.444444444444445,male,0.5194444444444443,5,1,5
eval,5.555555555555558,male,0.1833333333333329,9,1,9
eval,4.722222222222222,male,0.1805555555555553,2,1,2
eval,12.777777777777777,male,0.3444444444444444,4,1,4
eval,6.111111111111112,male,0.3333333333333333,7,1,7
eval,11.38888888888889,male,0.3722222222222222,8,1,8
eval,5.277777777777778,male,0.2444444444444444,9_9,2,9
eval,11.66666666666667,male,0.2777777777777778,6_6,2,6
eval,3.3333333333333326,male,0.1638888888888887,7_7,2,7
eval,5.555555555555558,male,0.2222222222222222,3_3,2,3
eval,9.166666666666666,male,0.1944444444444444,8_8,2,8
eval,0.5555555555555556,male,0.05,1_1,2,1
eval,4.444444444444445,male,0.3777777777777773,2_2,2,2
eval,6.666666666666667,male,0.3277777777777778,4_4,2,4
eval,3.3333333333333326,male,0.1166666666666666,5_5,2,5
eval,4.722222222222222,male,0.297222222222222,0_0,2,0
eval,1.6666666666666718,male,0.0388888888888888,9_9_9,3,9
eval,5.277777777777778,male,0.2611111111111111,0_0_0,3,0
eval,0.0,male,0.0,2_2_2,3,2
eval,5.555555555555558,male,0.1666666666666666,6_6_6,3,6
eval,3.055555555555556,male,0.0944444444444444,1_1_1,3,1
eval,2.5,male,0.1055555555555555,3_3_3,3,3
eval,1.9444444444444444,male,0.1222222222222222,7_7_7,3,7
eval,3.055555555555556,male,0.194444444444444,5_5_5,3,5
eval,4.970760233918129,male,0.2368421052631573,4_4_4,3,4
eval,0.5555555555555556,male,0.05,8_8_8,3,8
eval,5.833333333333333,male,0.3805555555555553,2_2_2_2,4,2
eval,2.5,male,0.1,9_9_9_9,4,9
eval,0.5847953216374269,male,0.0584795321637426,7_7_7_7,4,7
eval,6.666666666666665,male,0.2583333333333331,3_3_3_3,4,3
eval,3.055555555555556,male,0.3055555555555552,0_0_0_0,4,0
eval,1.1111111111111072,male,0.1138888888888886,5_5_5_5,4,5
eval,4.166666666666666,male,0.2027777777777775,6_6_6_6,4,6
eval,1.5337423312883436,male,0.0981595092024539,8_8_8_8,4,8
eval,3.888888888888889,male,0.0722222222222222,1_1_1_1,4,1
eval,1.6666666666666718,male,0.1499999999999996,4_4_4_4,4,4
eval,0.2777777777777778,male,0.0111111111111111,1_1_1_1_1,5,1
eval,7.777777777777778,male,0.2722222222222222,5_5_5_5_5,5,5
eval,4.444444444444445,male,0.5611111111111108,4_4_4_4_4,5,4
eval,7.222222222222221,male,0.3499999999999996,3_3_3_3_3,5,3
eval,1.6666666666666718,male,0.1861111111111109,6_6_6_6_6,5,6
eval,2.2222222222222223,male,0.1694444444444442,2_2_2_2_2,5,2
eval,2.2222222222222223,male,0.2,8_8_8_8_8,5,8
eval,1.3888888888888888,male,0.0444444444444444,7_7_7_7_7,5,7
eval,3.3333333333333326,male,0.1749999999999998,0_0_0_0_0,5,0
eval,1.5197568389057752,male,0.09009009009009,9_9_9_9_9,5,9
