phase,eer,gender,minDCF,text,loop,word
eval,19.298245614035093,male,0.6725146198830408,0,1,0
eval,10.555555555555552,male,0.3805555555555553,3,1,3
eval,17.777777777777782,male,0.6388888888888885,6,1,6
eval,7.222222222222219,male,0.4944444444444444,1,1,1
eval,15.0,male,0.6694444444444438,5,1,5
eval,11.111111111111116,male,0.5027777777777772,9,1,9
eval,9.444444444444445,male,0.3499999999999996,2,1,2
eval,11.111111111111116,male,0.5611111111111108,4,1,4
eval,10.555555555555555,male,0.3499999999999999,7,1,7
eval,12.222222222222223,male,0.6916666666666663,8,1,8
eval,10.555555555555552,male,0.6333333333333333,9_9,2,9
eval,10.555555555555552,male,0.4194444444444442,6_6,2,6
eval,9.166666666666666,male,0.4111111111111107,7_7,2,7
eval,5.555555555555558,male,0.2833333333333329,3_3,2,3
eval,13.888888888888884,male,0.3222222222222222,8_8,2,8
eval,9.444444444444445,male,0.3583333333333328,1_1,2,1
eval,13.888888888888884,male,0.4472222222222216,2_2,2,2
eval,2.777777777777779,male,0.1805555555555553,4_4,2,4
eval,12.5,male,0.4361111111111109,5_5,2,5
eval,7.222222222222219,male,0.2666666666666666,0_0,2,0
eval,5.555555555555558,male,0.3083333333333331,9_9_9,3,9
eval,5.833333333333333,male,0.3416666666666664,0_0_0,3,0
eval,6.111111111111112,male,0.4166666666666667,2_2_2,3,2
eval,4.444444444444445,male,0.4166666666666658,6_6_6,3,6
eval,6.666666666666665,male,0.297222222222222,1_1_1,3,1
eval,7.777777777777778,male,0.2555555555555555,3_3_3,3,3
eval,6.944444444444445,male,0.3277777777777778,7_7_7,3,7
eval,10.555555555555555,male,0.3361111111111109,5_5_5,3,5
eval,4.678362573099415,male,0.3918128654970759,4_4_4,3,4
eval,3.3333333333333326,male,0.1194444444444442,8_8_8,3,8
eval,12.777777777777777,male,0.4138888888888887,2_2_2_2,4,2
eval,9.166666666666666,male,0.4277777777777777,9_9_9_9,4,9
eval,9.064327485380115,male,0.2923976608187144,7_7_7_7,4,7
eval,13.33333333333333,male,0.4111111111111111,3_3_3_3,4,3
eval,7.777777777777772,male,0.5,0_0_0_0,4,0
eval,5.555555555555555,male,0.3583333333333331,5_5_5_5,4,5
eval,5.555555555555555,male,0.1833333333333333,6_6_6_6,4,6
eval,11.349693251533742,male,0.5306748466257666,8_8_8_8,4,8
eval,12.5,male,0.3666666666666666,1_1_1_1,4,1
eval,2.222222222222225,male,0.0833333333333333,4_4_4_4,4,4
eval,5.555555555555555,male,0.1722222222222222,1_1_1_1_1,5,1
eval,11.111111111111116,male,0.5944444444444441,5_5_5_5_5,5,5
eval,6.666666666666665,male,0.2777777777777778,4_4_4_4_4,5,4
eval,13.055555555555555,male,0.394444444444444,3_3_3_3_3,5,3
eval,7.222222222222219,male,0.3638888888888887,6_6_6_6_6,5,6
eval,10.0,male,0.4083333333333331,2_2_2_2_2,5,2
eval,5.555555555555558,male,0.3583333333333331,8_8_8_8_8,5,8
eval,8.888888888888891,male,0.4472222222222216,7_7_7_7_7,5,7
eval,5.555555555555558,male,0.247222222222222,0_0_0_0_0,5,0
eval,8.408408408408407,male,0.3663663663663664,9_9_9_9_9,5,9
