phase,eer,gender,minDCF,text,loop,word
eval,9.649122807017545,male,0.2982456140350877,0,1,0
eval,7.777777777777772,male,0.3083333333333331,3,1,3
eval,7.777777777777778,male,0.3583333333333331,6,1,6
eval,4.444444444444439,male,0.2666666666666663,1,1,1
eval,9.444444444444445,male,0.3499999999999999,5,1,5
eval,5.833333333333333,male,0.347222222222222,9,1,9
eval,4.444444444444439,male,0.2611111111111111,2,1,2
eval,11.944444444444445,male,0.2888888888888888,4,1,4
eval,6.388888888888888,male,0.2277777777777777,7,1,7
eval,13.33333333333333,male,0.3444444444444444,8,1,8
eval,6.666666666666665,male,0.3499999999999999,9_9,2,9
eval,9.444444444444445,male,0.4083333333333331,6_6,2,6
eval,3.055555555555556,male,0.0833333333333333,7_7,2,7
eval,6.111111111111112,male,0.2166666666666666,3_3,2,3
eval,8.333333333333337,male,0.2,8_8,2,8
eval,1.1111111111111072,male,0.05,1_1,2,1
eval,6.666666666666667,male,0.3583333333333328,2_2,2,2
eval,6.388888888888888,male,0.247222222222222,4_4,2,4
eval,5.833333333333333,male,0.333333333333333,5_5,2,5
eval,3.888888888888889,male,0.1111111111111111,0_0,2,0
eval,1.1111111111111112,male,0.1333333333333333,9_9_9,3,9
eval,5.000000000000004,male,0.2611111111111107,0_0_0,3,0
eval,0.5555555555555556,male,0.0055555555555555,2_2_2,3,2
eval,5.833333333333333,male,0.3416666666666664,6_6_6,3,6
eval,0.5555555555555556,male,0.0222222222222222,1_1_1,3,1
eval,8.333333333333332,male,0.2666666666666666,3_3_3,3,3
eval,1.6666666666666718,male,0.0666666666666666,7_7_7,3,7
eval,4.722222222222222,male,0.2888888888888888,5_5_5,3,5
eval,6.432748538011701,male,0.1812865497076023,4_4_4,3,4
eval,2.777777777777779,male,0.0333333333333333,8_8_8,3,8
eval,11.111111111111116,male,0.4194444444444442,2_2_2_2,4,2
eval,3.333333333333333,male,0.1555555555555555,9_9_9_9,4,9
eval,0.8771929824561403,male,0.0672514619883035,7_7_7_7,4,7
eval,12.777777777777777,male,0.3749999999999998,3_3_3_3,4,3
eval,1.9444444444444444,male,0.1138888888888886,0_0_0_0,4,0
eval,1.9444444444444444,male,0.0611111111111111,5_5_5_5,4,5
eval,1.9444444444444444,male,0.2111111111111111,6_6_6_6,4,6
eval,3.6809815950920255,male,0.165644171779141,8_8_8_8,4,8
eval,4.166666666666666,male,0.1249999999999997,1_1_1_1,4,1
eval,4.166666666666666,male,0.2055555555555555,4_4_4_4,4,4
eval,0.5555555555555556,male,0.0055555555555555,1_1_1_1_1,5,1
eval,2.777777777777779,male,0.2083333333333331,5_5_5_5_5,5,5
eval,7.5,male,0.4111111111111107,4_4_4_4_4,5,4
eval,11.111111111111116,male,0.4638888888888887,3_3_3_3_3,5,3
eval,2.222222222222225,male,0.2305555555555549,6_6_6_6_6,5,6
eval,4.444444444444439,male,0.3,2_2_2_2_2,5,2
eval,7.5,male,0.3666666666666666,8_8_8_8_8,5,8
eval,2.5,male,0.1,7_7_7_7_7,5,7
eval,5.0,male,0.0777777777777777,0_0_0_0_0,5,0
eval,4.20420420420421,male,0.1561561561561561,9_9_9_9_9,5,9
